% # columns="iteration, evaluation, void, void, void, xmean", seed=876039, Fri Feb 19 17:13:52 2021, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 200 0 0 0 2.015267160608137 -0.09326555692344951 0.19261989327313783 0.4981840535113544 1.0776316582745167
2 400 0 0 0 2.0612674289690913 -0.7076575812072864 -0.12231775361396513 -0.34533257844922316 1.6398611803308984
3 600 0 0 0 2.252049895713143 -0.8588924930524316 -0.4488069864710694 -1.0689763572611413 1.6298482545515132
4 800 0 0 0 2.726553222317056 -1.0510541476954252 -0.315581319375915 -1.9104957739365815 1.58643300097687
5 1000 0 0 0 2.97162040384714 -1.1273448626567448 0.11227025400451252 -2.320466836336657 1.3909521798517515
6 1200 0 0 0 3.604367142167443 -1.261807770687341 0.16823452138064027 -2.4515346302779566 1.0910647449618256
7 1400 0 0 0 4.093953477868336 -1.397951568046614 0.003768942564872285 -3.0512430729851565 0.7457320020668619
8 1600 0 0 0 4.29542426257385 -1.4380180209797302 0.28574953681301574 -2.7360485934708936 1.1177382248785832
9 1800 0 0 0 4.862562453646462 -1.536558072784604 -0.02308506125390586 -2.58120450717543 1.0904275930655027
10 2000 0 0 0 4.985397945608918 -1.538999391755334 -0.049607553981271896 -2.8457265102954894 1.5065669850342716
11 2200 0 0 0 4.746910711760452 -1.5346110703907705 -0.08380615157173704 -2.3757357290145853 1.7451454814842533
12 2400 0 0 0 5.234127611045722 -1.6039402254785506 -0.14876610915978858 -2.340500114366691 1.6929348566589206
13 2600 0 0 0 5.323680794394995 -1.6216210019538042 -0.23589113210984697 -2.269317486303149 1.9604430630522542
14 2800 0 0 0 5.315133883405941 -1.6299211760842487 -0.2761635701175954 -2.0142967718781426 1.8196897062090391
15 3000 0 0 0 5.392454050327774 -1.6483546102471376 -0.35828259893618003 -2.1432670715351447 1.8475060907245449
16 3200 0 0 0 5.264921381206693 -1.6271530641580023 -0.433369165460153 -2.3249894899731016 1.5976977795172842
17 3400 0 0 0 5.221932993522858 -1.6206155069350552 -0.6232940102346072 -2.5262555402968814 1.6365675866131366
18 3600 0 0 0 5.302981105766577 -1.6305483129882803 -0.7271551446054718 -2.9362771170184683 1.654044636760553
19 3800 0 0 0 5.34156832512902 -1.6297042237489452 -0.5369346795954197 -2.814790326034581 1.5146597166492552
20 4000 0 0 0 5.456680174507674 -1.6487567751844339 -0.5048380895474768 -2.9523846908219125 1.6147857329572015
21 4200 0 0 0 5.485143317647492 -1.6557650067467267 -0.4950984073209573 -3.058739264747236 1.6277866000544507
22 4400 0 0 0 5.523454073406085 -1.6624005445538506 -0.6015033658474127 -3.0607917207668573 1.6254395169204285
23 4600 0 0 0 5.500687151821528 -1.6564131637356934 -0.5557001115012596 -3.0526509286351384 1.6055364933487077
24 4800 0 0 0 5.632357172453355 -1.677858946233398 -0.5037871438868067 -3.076200462490122 1.647597729155039
25 5000 0 0 0 5.603162598431437 -1.6748360744527897 -0.6439484121680277 -3.18475637741056 1.5432399772202101
26 5200 0 0 0 5.594701858877316 -1.6707873194183904 -0.6274989441730926 -3.260114150226668 1.5410756564493204
27 5400 0 0 0 5.521471180518044 -1.6656671690377238 -0.7846526495990848 -3.330572446116859 1.4023120853565767
28 5600 0 0 0 5.505382260739529 -1.6622053928326577 -0.8692960846734857 -3.526856064383848 1.3668491582453726
29 5800 0 0 0 5.503391718084458 -1.6602915173513622 -0.8053054400978524 -3.421714263897757 1.4327748888630036
30 6000 0 0 0 5.5007994040411505 -1.6585547551740047 -0.7730197960156182 -3.456570414052637 1.4507182811642343
31 6200 0 0 0 5.450798801572675 -1.6497056365643237 -0.8097928179538789 -3.4953986536283654 1.4472490914844127
32 6400 0 0 0 5.447486230042972 -1.6484321357164065 -0.8288941378112741 -3.5183232742845254 1.3653208010629854
33 6600 0 0 0 5.519290232515663 -1.6581874923272493 -0.7452171436071279 -3.4672724067567127 1.506386195894281
34 6800 0 0 0 5.522361037832755 -1.6589345240693494 -0.839164060977003 -3.541147622870499 1.4183338254482798
35 7000 0 0 0 5.526979642881111 -1.6597289625284588 -0.8781339016405939 -3.55995227265618 1.4167521768637665
36 7200 0 0 0 5.528913292689901 -1.6585988944334724 -0.8185218709215755 -3.4329611618489126 1.4814213067421864
37 7400 0 0 0 5.566978443757303 -1.663499747794664 -0.7843601923447697 -3.3841827653868997 1.5065031442249077
38 7600 0 0 0 5.651882503022752 -1.674881319906712 -0.5877529611299519 -3.087106014325346 1.6360566351079853
39 7800 0 0 0 5.585344556862283 -1.6650267586504481 -0.6149602506820245 -3.006885636668036 1.6475851600764482
40 8000 0 0 0 5.478724438511459 -1.652647535413136 -0.7774754956074679 -3.121449920052826 1.466193611634319
41 8200 0 0 0 5.424739401897167 -1.6439962083256405 -0.7533436595523411 -2.9941268491467996 1.470569993750062
42 8400 0 0 0 5.316903070087175 -1.6311902917889312 -0.8564618599700198 -2.94938240150446 1.3665413310269783
43 8600 0 0 0 5.290106995430779 -1.6273049439256047 -0.8257566456901794 -2.879726100593573 1.3979805653806725
